id,name,category,x,y,visitorReviewCount,visitorReviewScore,searchName
1051629656,잇앤톡,테마카페,127.04778,37.527596,5,-1.0,이트앤토크
1753574678,커피베이 보라매점,카페,126.929214,37.489212,229,4.34,커피베이 보라매점
-2,-2,-2,-2.0,-2.0,-2,-2.0,투썸플레이스 씨제이프레시웨이강남세브란스병원점
1561427296,골목카페옥수,"카페,디저트",126.379944,33.43973,300,4.42,골목카페
1590063971,초록이네,"카페,디저트",126.94536,37.548187,32,4.41,초록이네
1258552050,더카페 NC불광8층점,카페,126.92891,37.609764,105,-1.0,더라떼
1981734711,cafe 도로시,"카페,디저트",127.21649,37.57994,7,-1.0,Cafe도로시
1276144902,매머드익스프레스 삼송mbn미디어시티점,카페,126.89769,37.64937,111,-1.0,매머드커피
21413519,라 카페 갤러리,갤러리카페,126.9731,37.57932,322,4.37,라카페갤러리
1655582120,이디야커피 해군회관점,카페,126.92223,37.504253,199,4.64,이디야커피 해군회관점
-2,-2,-2,-2.0,-2.0,-2,-2.0,언덕위에카파
77278594,호텔롯데 휘트니스클럽,헬스장,126.98101,37.56536,3,-1.0,정동클럽
-2,-2,-2,-2.0,-2.0,-2,-2.0,할리스커피마포역점 마포역점
1489621653,보리수,"카페,디저트",127.021675,37.58478,18,-1.0,보리수
-2,-2,-2,-2.0,-2.0,-2,-2.0,법학관카페 인피니티
1106323804,꼼떼커피,카페,126.963455,37.562035,186,3.63,꼼떼커피
1206556385,카페다커피,"카페,디저트",126.958015,37.57547,84,4.07,카페다커피 독립문점
1086744078,커피에반하다 서울독산초점,카페,126.89926,37.464554,38,4.44,커피에반하다 독산초점
1047593648,투썸플레이스 LG광화문빌딩점,카페,126.97152,37.569366,212,4.33,투썸플레이스 LG광화문빌딩점
1517719903,오바도즈,카페,126.9194,37.548756,204,4.54,오바도즈
33093226,북해빙수,"카페,디저트",127.0145,37.5667,213,4.52,북해빙수
1641213468,미칠비루 디저트 아뜰리에,카페,127.085495,37.492462,82,4.56,미칠비루디져트아뜰리에
19562965,커피빈 청담카페점,카페,127.04442,37.52455,950,4.43,커피빈 코리아청담카페점
1319862091,초원,"육류,고기요리",126.97334,37.54266,930,4.47,초원
1288656589,와플플러스,와플,127.036934,37.606613,6,-1.0,와플플러스
1258888819,카페달보드레,"카페,디저트",127.025185,37.636333,8,-1.0,카페 달보드레
37259716,공차 한양대점,차,127.04093,37.559723,561,4.34,공차한양대점 한양대점
31950212,앤드에이,의류제작,126.9237,37.553795,3,-1.0,앤드에이
1823324771,카페알토 바이 밀도,베이커리,126.96867,37.528793,1493,4.44,카페알토바이밀도 알토바이밀도
1261347612,스타벅스 방배다이치빌딩점,카페,126.996025,37.484375,2525,4.45,스타벅스 방배다이치빌딩점
1957393488,영플랜츠&갤러리영,"카페,디저트",127.039116,37.659267,29,4.35,영플랜츠&갤러리영
37615629,더샘 연신내점,"화장품,향수",126.91983,37.618683,236,4.45,샘
1875840734,루시드커피,테이크아웃커피,129.04836,35.169666,2,-1.0,루시 드커피
1057993217,투썸플레이스 가락시장역점,카페,127.12091,37.493946,731,4.36,투썸플레이스 가락시장역점
1724782036,파트원나이스,"카페,디저트",127.12466,37.54763,92,4.66,파트원나이스
36666738,신사장,복합문화공간,127.016884,37.515553,1,-1.0,신사장
-2,-2,-2,-2.0,-2.0,-2,-2.0,셀그린농산킹콩쥬스엔커피
33069736,미홍 본점,"떡,한과",126.91341,37.550495,175,4.34,미홍
38484195,두리안디저트카페,"과일,주스전문점",126.89414,37.49137,251,4.27,카페구로
11684139,스타벅스 뉴코아강남점,카페,127.007126,37.510227,2199,4.44,스타벅스 뉴코아강남점
-2,-2,-2,-2.0,-2.0,-2,-2.0,커피마마창동우리집점 창동우리집점
1492125278,캐리키즈카페 IFC몰점,"키즈카페,실내놀이터",126.925995,37.5254,886,4.13,캐리키즈카페 IFC몰점
-2,-2,-2,-2.0,-2.0,-2,-2.0,뚜또오케이고대점 고대점
-2,-2,-2,-2.0,-2.0,-2,-2.0,coffee34thST.
196474645,맑음케이크,"카페,디저트",126.75019,37.670105,1547,4.55,Cafe맑음
-2,-2,-2,-2.0,-2.0,-2,-2.0,와플반트 롯데월드점
1599056154,이다,양식,126.9917,37.577038,299,-1.0,이다
33246247,카페더스노우,카페,127.07239,37.53898,4,-1.0,카페더스노우
1500267899,시온글로벌,종합도소매,126.8872,37.51776,21,4.35,키커피코리아
34807185,카페보니또 압구정점,카페,127.02865,37.523655,12,4.5,카페보니또 반포점
1066797653,커피 한송이,"꽃집,꽃배달",126.85572,37.556698,147,4.68,"커피,한송이"
31274475,카페129-11,카페,126.92867,37.5675,325,4.42,카페129-11 129-11
38275995,ohooCafe,"카페,디저트",126.96927,37.57936,253,4.24,오후카페
31225001,비비비당,차,129.185,35.16254,1348,4.47,전통찻집
1262038712,H카페,"카페,디저트",127.119385,36.832977,224,4.4,에이치카페
1724806643,엔제리너스 롯데백소공식당가점,카페,126.98181,37.564762,1790,4.34,엔제리너스 커피광화문점
12917955,최가커피,카페,127.07061,37.54301,874,4.51,최가커피
1237848914,통툰 망리단길점,만화방,126.90829,37.555634,55,4.48,통툰만화까페
31317217,이디야커피 등촌역점,카페,126.86337,37.549175,489,4.3,이디야커피 등촌역점
37402267,쉐라톤 그랜드 인천 호텔 로비라운지 커넥션,"카페,디저트",126.64548,37.39023,80,4.64,로비라운지&델리
20322289,꼬메노,카페,127.06911,37.545605,222,4.69,꼬메노
-2,-2,-2,-2.0,-2.0,-2,-2.0,카페그리다
1925032494,빈프로젝트,연극,126.99666,37.533726,-1,-1.0,빈프로젝트
1211182613,카페트레비,카페,126.85591,35.14418,2,-1.0,카페 트레비
33331859,스타벅스 청담점,카페,127.05163,37.52445,1960,4.46,스타벅스 청담점
1793118364,젤라또랩,기업,127.047714,37.546688,-1,-1.0,젤라또랩
37543009,쓰임 일산백석벨라시타점,주방용품,126.7916,37.64167,451,4.31,쓰임
33021891,탐앤탐스 난곡사거리점,카페,126.91425,37.481556,1112,4.33,탐앤탐스난곡사거리점 난곡사거리점
32799680,혼자두면장판뜯어서차린개카페,애견카페,126.93569,37.48516,59,4.38,혼자두면장판뜯어서차린개카페 혼자두면장판뜯어서차린개
734161723,브라운씨,카페,126.83515,37.551823,373,4.4,카페커피씨
1045862664,이안커피,카페,127.1153,37.485294,148,4.7,이안커피
-2,-2,-2,-2.0,-2.0,-2,-2.0,플레져디
