상호명,지점명,상권업종소분류명,지번주소,도로명주소,경도,위도,상호지점명,id,name,category,visitorReviewCount,visitorReviewScore
우리행성,,커피전문점/카페/다방,서울특별시 노원구 상계동 321-22,서울특별시 노원구 노원로32길 42-22,127.069478414139,37.6554837857639,우리행성,629675439,우리행성,"카페,디저트",558,4.54
이디야커피,봉일시장점,커피전문점/카페/다방,서울특별시 관악구 봉천동 955-57,서울특별시 관악구 은천로 23,126.93791369666,37.4864011023419,이디야커피 봉일시장점,37206799,이디야커피 봉일시장점,카페,175,4.44
커피미아,,커피전문점/카페/다방,서울특별시 강북구 미아동 44-9,서울특별시 강북구 도봉로6길 26,127.03141766534,37.6121529798815,커피미아,36203162,스타벅스 미아사거리역점,카페,5070,4.46
마을과마디,,커피전문점/카페/다방,서울특별시 노원구 공릉동 657-12,서울특별시 노원구 화랑로 466,127.079159045733,37.6185901693395,마을과마디,826731546,마을과마디,카페,207,4.47
수레,,커피전문점/카페/다방,서울특별시 강남구 논현동 66-8,서울특별시 강남구 도산대로30길 16-4,127.029209698977,37.5187685306827,수레,18511987,수레,카페,4,평점없음
커피에반하다,구로덕의초점,커피전문점/카페/다방,서울특별시 구로구 고척동 168-59,서울특별시 구로구 고척로 203,126.855816822816,37.5052682431186,커피에반하다 구로덕의초점,1783782064,커피에반하다 구로덕의초점,카페,89,4.08
엔티커피,,커피전문점/카페/다방,서울특별시 종로구 종로6가 195-2,서울특별시 종로구 율곡로 272,127.007066036195,37.5729175560827,엔티커피,37747159,엔티커피,"카페,디저트",226,4.4
카페소고,망우점,커피전문점/카페/다방,서울특별시 중랑구 망우동 489-29,서울특별시 중랑구 신내로1길 15,127.096098577171,37.5994748616223,카페소고 망우점,1691702665,카페소고 2호점,"카페,디저트",282,4.56
지하로카페,,커피전문점/카페/다방,서울특별시 마포구 중동 253,서울특별시 마포구 성암로3길 30,126.910954758411,37.5682496237167,지하로카페,1556821831,지하로카페,"카페,디저트",14,4.54
미즈스타커피,,커피전문점/카페/다방,서울특별시 강남구 수서동 713,서울특별시 강남구 밤고개로1길 10,127.101830759377,37.4880132769347,미즈스타커피,1124452965,미즈스타커피,"카페,디저트",54,4.47
Comportcoffee,,커피전문점/카페/다방,서울특별시 마포구 공덕동 115-4,서울특별시 마포구 효창목길 3-1,126.958742860673,37.5473982069181,Comportcoffee,1768474656,더컴포트커피,"카페,디저트",96,4.39
COFFEEAVENUEPUB,,커피전문점/카페/다방,서울특별시 서초구 서초동 1569-6,서울특별시 서초구 반포대로26길 58,127.012322613046,37.4911193695365,COFFEEAVENUEPUB,31600803,커피애비뉴펍,카페,149,4.13
프롬하츠커피,서울숲푸르지오점,커피전문점/카페/다방,서울특별시 성동구 금호동4가 199-2,서울특별시 성동구 금호로 27,127.024691281934,37.5460691575316,프롬하츠커피 서울숲푸르지오점,37638304,프롬하츠커피 서울숲푸르지오점,"카페,디저트",250,4.52
투썸플레이스,방배카페거리점,커피전문점/카페/다방,서울특별시 서초구 방배동 755-14,서울특별시 서초구 방배중앙로 204,126.985676893834,37.4972370082012,투썸플레이스 방배카페거리점,1925502380,투썸플레이스 방배카페거리점,카페,797,4.31
아티제,대신파이낸스센터점,커피전문점/카페/다방,서울특별시 중구 저동1가 48,서울특별시 중구 삼일대로 343,126.986942236059,37.5650877209435,아티제 대신파이낸스센터점,1647130588,아티제 대신파이낸스센터점,카페,1743,4.4
Malacca,,커피전문점/카페/다방,서울특별시 영등포구 당산동3가 404,서울특별시 영등포구 당산로29길 7,126.894386251286,37.5258639630774,Malacca,1438889236,카페 말라카,"카페,디저트",237,4.46
아리스타커피,남대문점,커피전문점/카페/다방,서울특별시 중구 남대문로5가 120,서울특별시 중구 소월로 10,126.975395770913,37.5585276043331,아리스타커피 남대문점,35719946,아리스타커피 남대문점,카페,173,4.25
콩카페,연남점,커피전문점/카페/다방,서울특별시 마포구 연남동 223-114,서울특별시 마포구 성미산로 161-14,126.923731265426,37.5653483222753,콩카페 연남점,1521760712,콩카페 연남점,카페,917,4.48
할리스커피,난곡사거리점,커피전문점/카페/다방,서울특별시 관악구 신림동 526-13,서울특별시 관악구 남부순환로 1489,126.916159190088,37.4824191215345,할리스커피 난곡사거리점,1737670746,할리스 난곡사거리점,카페,541,4.44
밑업,,커피전문점/카페/다방,서울특별시 영등포구 여의도동 13-25,서울특별시 영등포구 은행로 29,126.921876796045,37.529073547332,밑업,1758529303,밑업,카페,59,4.69
즐거운커피,,커피전문점/카페/다방,서울특별시 동작구 노량진동 230-21,서울특별시 동작구 장승배기로 112,126.940180730238,37.507614132476,즐거운커피,33253767,즐거운커피,카페,71,4.5
서정적살롱,,커피전문점/카페/다방,서울특별시 송파구 송파동 32-7,서울특별시 송파구 석촌호수로 274,127.106202301448,37.5102215235469,서정적살롱,13129069,서정적살롱,브런치,1055,4.23
